RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
5539,270600,OLIVENÇA,AL,"0,493","0,513","0,677","0,345",AL-OLIVENÇA,1,AL-OLIVENÇA,1713,270600, AL,OLIVENÇA,OLIVENÇA,-7.1026661,38.6826443
5244,270610,OURO BRANCO,AL,"0,547","0,538","0,700","0,434",AL-OURO BRANCO,1,AL-OURO BRANCO,1714,270610, AL,OURO BRANCO,OURO BRANCO,-37.3587137,-9.1622013
5081,270620,PALESTINA,AL,"0,558","0,505","0,735","0,467",AL-PALESTINA,1,AL-PALESTINA,1715,270620, AL,PALESTINA,PALESTINA,35.233154,31.952162
3333,270630,PALMEIRA DOS ÍNDIOS,AL,"0,638","0,625","0,794","0,523",AL-PALMEIRA DOS ÍNDIOS,1,AL-PALMEIRA DOS ÍNDIOS,1716,270630, AL,PALMEIRA DOS ÍNDIOS,PALMEIRA DOS ÍNDIOS,-36.6331433,-9.406106
4309,270640,PÃO DE AÇÚCAR,AL,"0,593","0,536","0,793","0,491",AL-PÃO DE AÇÚCAR,1,AL-PÃO DE AÇÚCAR,1717,270640, AL,PÃO DE AÇÚCAR,PÃO DE AÇÚCAR,-74.1539075,40.7284743
5225,270642,PARICONHA,AL,"0,548","0,526","0,754","0,416",AL-PARICONHA,1,AL-PARICONHA,1718,270642, AL,PARICONHA,PARICONHA,-38.0026784,-9.2554242
4029,270644,PARIPUEIRA,AL,"0,605","0,595","0,767","0,486",AL-PARIPUEIRA,1,AL-PARIPUEIRA,1719,270644, AL,PARIPUEIRA,PARIPUEIRA,-35.5522986,-9.4635594
5370,270650,PASSO DE CAMARAGIBE,AL,"0,533","0,513","0,703","0,421",AL-PASSO DE CAMARAGIBE,1,AL-PASSO DE CAMARAGIBE,1720,270650, AL,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE,-35.4899399,-9.242951
4416,270660,PAULO JACINTO,AL,"0,589","0,551","0,732","0,507",AL-PAULO JACINTO,1,AL-PAULO JACINTO,1721,270660, AL,PAULO JACINTO,PAULO JACINTO,-36.3740111,-9.3716397
3487,270670,PENEDO,AL,"0,630","0,602","0,774","0,536",AL-PENEDO,1,AL-PENEDO,1722,270670, AL,PENEDO,PENEDO,-44.5360667,-22.4279328
4802,270680,PIAÇABUÇU,AL,"0,572","0,538","0,727","0,479",AL-PIAÇABUÇU,1,AL-PIAÇABUÇU,1723,270680, AL,PIAÇABUÇU,PIAÇABUÇU,-36.4313297,-10.4073113
3902,270690,PILAR,AL,"0,610","0,578","0,771","0,509",AL-PILAR,1,AL-PILAR,1724,270690, AL,PILAR,PILAR,-73.9550335,40.6880607
4764,270700,PINDOBA,AL,"0,574","0,579","0,703","0,465",AL-PINDOBA,1,AL-PINDOBA,1725,270700, AL,PINDOBA,PINDOBA,-36.2874787,-9.4753321
4416,270710,PIRANHAS,AL,"0,589","0,563","0,786","0,462",AL-PIRANHAS,1,AL-PIRANHAS,1726,270710, AL,PIRANHAS,PIRANHAS,NA,NA
5426,270720,POÇO DAS TRINCHEIRAS,AL,"0,526","0,484","0,719","0,419",AL-POÇO DAS TRINCHEIRAS,1,AL-POÇO DAS TRINCHEIRAS,1727,270720, AL,POÇO DAS TRINCHEIRAS,POÇO DAS TRINCHEIRAS,-37.2854665,-9.3063354
4495,270730,PORTO CALVO,AL,"0,586","0,558","0,723","0,498",AL-PORTO CALVO,1,AL-PORTO CALVO,1728,270730, AL,PORTO CALVO,PORTO CALVO,-35.4030749,-9.0469059
5306,270740,PORTO DE PEDRAS,AL,"0,541","0,542","0,769","0,379",AL-PORTO DE PEDRAS,1,AL-PORTO DE PEDRAS,1729,270740, AL,PORTO DE PEDRAS,PORTO DE PEDRAS,-35.3052144,-9.1605105
