MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 PA-CURIONÓPOLIS,193,150277, PA,CURIONÓPOLIS,CURIONÓPOLIS,-49.6017418,-6.1045764
 PA-CURRALINHO,194,150280, PA,CURRALINHO,CURRALINHO,-49.7956608,-1.8121545
 PA-CURUÁ,195,150285, PA,CURUÁ,CURUÁ,-55.1215929,-1.8901536
 PA-CURUÇÁ,196,150290, PA,CURUÇÁ,CURUÇÁ,-47.8518309,-0.7332326
 PA-DOM ELISEU,197,150293, PA,DOM ELISEU,DOM ELISEU,-47.557003,-4.2931403
 PA-ELDORADO DOS CARAJÁS,198,150295, PA,ELDORADO DOS CARAJÁS,ELDORADO DOS CARAJÁS,-49.3533712,-6.103989
 PA-FARO,199,150300, PA,FARO,FARO,-73.922845,40.707428
 PA-FLORESTA DO ARAGUAIA,200,150304, PA,FLORESTA DO ARAGUAIA,FLORESTA DO ARAGUAIA,-49.7052462,-7.563093
 PA-GARRAFÃO DO NORTE,201,150307, PA,GARRAFÃO DO NORTE,GARRAFÃO DO NORTE,-47.0508905,-1.9302379
 PA-GOIANÉSIA DO PARÁ,202,150309, PA,GOIANÉSIA DO PARÁ,GOIANÉSIA DO PARÁ,-49.1008557,-3.839985
 PA-GURUPÁ,203,150310, PA,GURUPÁ,GURUPÁ,-51.6426981,-1.4065955
 PA-IGARAPÉ-AÇU,204,150320, PA,IGARAPÉ-AÇU,IGARAPÉ-AÇU,-47.5668376,-1.1512241
 PA-IGARAPÉ-MIRI,205,150330, PA,IGARAPÉ-MIRI,IGARAPÉ-MIRI,-49.1221414,-1.9207489
 PA-INHANGAPI,206,150340, PA,INHANGAPI,INHANGAPI,-47.8822604,-1.4459727
 PA-IPIXUNA DO PARÁ,207,150345, PA,IPIXUNA DO PARÁ,IPIXUNA DO PARÁ,-47.4995044,-2.5573374
 PA-IRITUIA,208,150350, PA,IRITUIA,IRITUIA,-47.4372011,-1.7710777
 PA-ITAITUBA,209,150360, PA,ITAITUBA,ITAITUBA,-55.9931173,-4.2670701
 PA-ITUPIRANGA,210,150370, PA,ITUPIRANGA,ITUPIRANGA,-49.8547266,-5.0377529
 PA-JACAREACANGA,211,150375, PA,JACAREACANGA,JACAREACANGA,-57.7607584,-6.2238568
 PA-JACUNDÁ,212,150380, PA,JACUNDÁ,JACUNDÁ,-49.1155806,-4.4469628
 PA-JURUTI,213,150390, PA,JURUTI,JURUTI,-56.1749379,-2.5131435
 PA-LIMOEIRO DO AJURU,214,150400, PA,LIMOEIRO DO AJURU,LIMOEIRO DO AJURU,-49.4872858,-1.8409583
 PA-MÃE DO RIO,215,150405, PA,MÃE DO RIO,MÃE DO RIO,-47.5524333,-2.0524106
 PA-MAGALHÃES BARATA,216,150410, PA,MAGALHÃES BARATA,MAGALHÃES BARATA,-47.6019381,-0.7988571
 PA-MARABÁ,217,150420, PA,MARABÁ,MARABÁ,-50.1832516,-5.5927124
 PA-MARACANÃ,218,150430, PA,MARACANÃ,MARACANÃ,-43.2301558,-22.9121089
 PA-MARAPANIM,219,150440, PA,MARAPANIM,MARAPANIM,-47.7243139,-0.9254064
 PA-MARITUBA,220,150442, PA,MARITUBA,MARITUBA,-48.3424868,-1.3603782
 PA-MEDICILÂNDIA,221,150445, PA,MEDICILÂNDIA,MEDICILÂNDIA,-52.8904694,-3.4438218
 PA-MELGAÇO,222,150450, PA,MELGAÇO,MELGAÇO,-8.2579742,42.1144544
 PA-MOCAJUBA,223,150460, PA,MOCAJUBA,MOCAJUBA,-49.5060861,-2.5846014
 PA-MOJU,224,150470, PA,MOJU,MOJU,-48.7655306,-1.8844563
 PA-MONTE ALEGRE,225,150480, PA,MONTE ALEGRE,MONTE ALEGRE,-89.166468,37.7473
 PA-MUANÁ,226,150490, PA,MUANÁ,MUANÁ,-49.2223364,-1.5299037
 PA-NOVA ESPERANÇA DO PIRIÁ,227,150495, PA,NOVA ESPERANÇA DO PIRIÁ,NOVA ESPERANÇA DO PIRIÁ,-46.968198,-2.2730605
 PA-NOVA IPIXUNA,228,150497, PA,NOVA IPIXUNA,NOVA IPIXUNA,-49.0770945,-4.9208482
 PA-NOVA TIMBOTEUA,229,150500, PA,NOVA TIMBOTEUA,NOVA TIMBOTEUA,-47.392964,-1.2063291
 PA-NOVO PROGRESSO,230,150503, PA,NOVO PROGRESSO,NOVO PROGRESSO,-55.2070292,-7.7296294
 PA-NOVO REPARTIMENTO,231,150506, PA,NOVO REPARTIMENTO,NOVO REPARTIMENTO,-49.950624,-4.2493922
 PA-ÓBIDOS,232,150510, PA,ÓBIDOS,ÓBIDOS,-9.1582014,39.3604212
 PA-OEIRAS DO PARÁ,233,150520, PA,OEIRAS DO PARÁ,OEIRAS DO PARÁ,-49.9366899,-2.3103337
 PA-ORIXIMINÁ,234,150530, PA,ORIXIMINÁ,ORIXIMINÁ,-55.8638155,-1.7618311
 PA-OURÉM,235,150540, PA,OURÉM,OURÉM,-8.5773408,39.6564974
 PA-OURILÂNDIA DO NORTE,236,150543, PA,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,-51.0773679,-6.7518924
 PA-PACAJÁ,237,150548, PA,PACAJÁ,PACAJÁ,-50.6373282,-3.8349
 PA-PALESTINA DO PARÁ,238,150549, PA,PALESTINA DO PARÁ,PALESTINA DO PARÁ,-48.318518,-5.7406577
 PA-PARAGOMINAS,239,150550, PA,PARAGOMINAS,PARAGOMINAS,-47.3530977,-3.0026165
